nombre,descripcion,categoria,precio_costo,precio_venta,stock_actual,stock_minimo
Proteina Whey,Suplemento nutricional proteina,Suplementos,25000,45000,50,10
Creatina Monohidrato,Suplemento para fuerza,Suplementos,18000,32000,30,15
Pre-Workout,Pre-entrenamiento estimulante,Suplementos,22000,38000,25,10
Barras Proteicas,Barras energeticas proteicas,Snacks,3500,6000,100,20
Guantes Gym,Proteccion para manos,Accesorios,12000,22000,40,15
Cinturon Levantamiento, Cinturon para Pesas,Accesorios,35000,55000,15,5
Camiseta Sport,Camiseta deportiva algodon,Ropa,25000,45000,30,10
Leggings Fitness,Pantalón deportivo mujer,Ropa,35000,55000,25,10
Zapatillas Running,Zapatillas para correr,Calzado,85000,120000,20,8
Banda Elastica,Bandas de resistencia ejercicio,Accesorios,8000,15000,60,20
